n,id,unique_views,tag,good,created,bookmarked,t,content
417,ipu02rqeexp6ew,72,exam,0,2016-06-24T17:17:06Z,3,1470666099178,final exam scores have been released and regrade requests are open please take a look at the solutions before submitting a regrade request solutions have been posted on the google drive you have until sunday at 100 pm to submit a regrade request requests submitted after this time will not be processed exam statistics can be found in the grade statistics thread in 7
404,ippe9zoyimw6fb,78,exam,0,2016-06-21T11:55:47Z,2,1470666099390,this message contains details for the eecs 280 midterm 0 coverage the final exam is cumulative with a focus on material from lectures 11 and on labs 06 and on projects 3 4 and 5 1 time and location time thursday june 23nd from 800am michigan time to 1000am 110 min location by uniqname below please go to your assigned room if we discover that you took your midterm in a room that you are not assigned to we will automatically give you a zero on your midterm room start end eecs 1200 aberatne henryrm eecs 1311 hiekim maxqi eecs 1303 mengyliu ziweiw 2 exam policies the exam will be closed book and closed notes except for one sheet of 85 x 11 paper handwritten with anything you’d like written on it both sides do not bring a blue book no calculators will be necessary thus no electronics of any kind are permitted the exam will be given under the engineering honor code 3 study materials there are 3 previous midterms you may use as practice exams solutions to these midterms have been published and are available on the google drive if you have any questions please stop by at office hours or attend the final exam review on tuesday june 21 from 500 900 pm in bbb 1670 we also encourage you to discuss material with friends or on piazza forums 4 alternate and extended time exams emails for students taking alternate and extended time exams have already been sent out if you feel you should have received said email but have not please email us eecs280examsumichedu asap happy studying north campus map httpscampusinfoumichedufilescampusinfonorthcampusmappdf eecs 280 staff pin
126,io7o273qj8v5ym,95,image,0,2016-05-14T21:30:06Z,7,1470666099624,if youve got your resize program working feel free to share the results with some images of your own pin
416,ipse8svaadoc7,46,exam,1,2016-06-23T14:18:10Z,2,1470666100711,please do not discuss the exam until 400 today thank you
415,iprjj7avxk56p4,45,exam,0,2016-06-22T23:58:27Z,3,1470666100968,how is this 3 3 why is it not 2 1
414,ipresotoiy1gh,42,calculator,0,2016-06-22T21:45:52Z,3,1470666101176,is there anyway we can see the tests that the autograder ran on our old projects
412,iprdlq45xx15gl,39,exam,0,2016-06-22T21:12:27Z,3,1470666101642,instead of using first could i instead write first null on the exam
411,ipr67rpisehda,39,exam,0,2016-06-22T17:45:39Z,6,1470666101843,for example in w15 problem 4d when we create base baseptr der does this make an instance of base with value 5
410,ipr53y3k48x69a,38,exam,0,2016-06-22T17:14:41Z,3,1470666102050,im very confused by this question solution it was my understanding that we were to take the current list of a collector and modify the list so that there were no duplicates but the solution shows us making a whole new instance of a collector c and using a list from a different collector im just really confused could someone please clarify the solution
409,ipr18qqsagl6ls,38,exam,4,2016-06-22T15:26:26Z,5,1470666102239,in the context of the problem below why do we have to go with option 1 to deallocate the array vs option 2 when would we want to use option 2 option 1 for int i 0 i numparts i delete partsi option 2 delete parts
408,ipqwcexzhb72b6,30,exam,1,2016-06-22T13:09:19Z,5,1470666102469,if simpleplayer is a derived type of base class player and i have code player p new simpleplayer is a player object allocated space in the heap just like a simpleplayer object is also how are both the objects destroyed when we say delete p
407,ippv85c06oj7kv,38,exam,0,2016-06-21T19:50:14Z,3,1470666102691,i dont see how the solution here would evaluate an item in the list that is equal to the item we are comparing the comparator provided only evaluates true is the item is greater than the compared value not grater than or equal to so in the example provided this solution would not return 4 because 4 is not greater than 4 so it would return 5 am i missing something
405,ippgepf8jgs74e,46,exam,0,2016-06-21T12:55:26Z,3,1470666103154,june 20th was yesterday is the exam review today 21st or tomorrow 22nd
403,ipoz3u6s2au3wa,36,exam,0,2016-06-21T04:51:06Z,4,1470666103388,i have a few questions about problem 5 1 for part a why is number exception caught printed is it because rangeex is derived from numex class and so the numex catch block catches any child class exceptions 2 for part b does the code terminate because there is no catch block for inputex if so can a also be a correct catch block and location for part c if not why would c be the correct choice thanks problem 5 solutions eecs280w15finalsolutionsannotated2pdf
402,ipomo8hxbny741,33,recursion,0,2016-06-20T23:03:02Z,3,1470666103629,what does numitems indicate are we supposed to interpret that if for example numitems 8 we should be going through items 0 7 in our arrays
401,ipoiy11gisczs,38,recursion,0,2016-06-20T21:18:41Z,4,1470666103817,on the autograder there are a bunch of boundary tests could someone quickly clarify that
400,ipodp1nkk6d130,36,recursion,0,2016-06-20T18:51:43Z,4,1470666104052,could someone explain to me what the identity parameter does in correspondence with fn i dont completely understand the specs
399,ipodfutxcpu19d,33,recursion,0,2016-06-20T18:44:35Z,3,1470666104308,i may have missed this somewhere in the specs but would we expect to have negative numbers in our liststrees
398,ipod82sckgq5m0,33,recursion,0,2016-06-20T18:38:32Z,4,1470666104552,should we include rmes for every one of our helper functions in p2cpp and for any function pointers we made to test filteraccumulate in p2testscpp
397,ipoaecssreu462,48,exam,1,2016-06-20T17:19:26Z,2,1470666104763,will the final review on 621 be recorded i have a conflict but would still like to see the material reviewed
395,ipnbf1rdvky16s,44,recursion,0,2016-06-20T01:00:12Z,4,1470666105171,for my maxvalue test cases some runs it turns out correct while other runs it doesnt i print out the result every time i run it and i found out that sometimes it doesnt cover the last element in the item list while other times it does any ideas as to why this would be the case it seems to only be a problem for the last item in the item list
394,ipn71ljqb5833t,43,recursion,0,2016-06-19T22:57:46Z,3,1470666105399,i test my maxvalue function on labster and it worked well but the autograder told me it exceeded the time limit anyone know how to fix it
393,ipn4ywxgazplq,48,recursion,0,2016-06-19T21:59:41Z,3,1470666105631,the rme for this function does not mention what to do if both lists first and second are empty lists should it just return an empty list or a list of two empty lists or would this be the same thing
392,iplil1twlv53xy,52,recursion,0,2016-06-18T18:45:17Z,3,1470666105843,can we write a tree recursive helper function for numpartitions that essentially takes in the same input as numpartitions but also an additional input variable for keeping track of the largest integer so far basically can we use helper functions that have recursion in them even if the function is not tail recursive for example int recursionint n return recursionhelpern n static int recursionhelperint n int high do tree recursion and return int would something like this be ok for the numpartitions function
391,iplhxfnnxd3yr,51,recursion,0,2016-06-18T18:26:55Z,5,1470666106057,can we write a helper function to calculate the max between two integers and use that in our recursion
390,ipkn7fkpxcx5m9,53,recursion,0,2016-06-18T04:06:53Z,5,1470666106251,on labster its saying that my treecontains function isnt tail recursive because it calls the traversal function but then my helper function which gets called by treecontains is tail recursive does this mean my treecontains function is tail recursive or not
389,ipkfjw1c7cj62n,47,recursion,0,2016-06-18T00:32:37Z,3,1470666106467,do we have to consider functions for accumulate for which order of operations matters ie if textttfn pointed to an textttint divide function i seem to have trouble getting the same output for the nontail recursive implementation given in the spec and my tailrecursive version for these types of functions since they seem to start at opposite ends of the list
388,ipk9itqwwlv1tk,51,recursion,0,2016-06-17T21:43:50Z,3,1470666106694,if we are not allowed to modify the values array its const nor are we allowed to create new arrays how else are we supposed to keep track of which items that have already been included such that we do not include them again in the knapsack thanks
387,ipk116d65b73bs,40,exam,0,2016-06-17T17:46:10Z,4,1470666106910,when is the alternative final exam
386,ipj2tctp40d3lw,52,recursion,2,2016-06-17T01:48:18Z,3,1470666107129,can anyone explain what the accumulate function is supposed to do i dont really understand what is meant by return the tail recursive equivalent of fnlistfirstlist accumulatelistrestlist fn identity is there a parenthesis missing thanks
384,ipitobhx9g37m,46,recursion,0,2016-06-16T21:32:26Z,3,1470666107557,it says in the project spec that we cant use anything other than tail recursion to implement the functions in p2h but will there be a problem with the autograder if we use iterative helper functions to test our code what about including libraries such as vector also in p2testcpp
380,iphir1zpmdq5dl,33,calculator,0,2016-06-15T23:38:52Z,3,1470666108505,anyone want to do the code review after lecture tomorrow
376,ipgv5bfy4ik2k3,49,recursion,0,2016-06-15T12:38:07Z,4,1470666109384,are we calling our project five file p2cpp or p5cpp i realize its is a typo but i dont know if the name of your h file has to match the name of our cpp file
375,ipg7791qjvi1qk,48,recursion,0,2016-06-15T01:27:46Z,3,1470666109602,do tree functions in p5 also have to be tail recursive or just general recursive
374,ipfuaa1r58k2ac,52,exam,0,2016-06-14T19:26:12Z,3,1470666109815,on the final will we be allowed to have one sheet with notes like we had for the midterm
373,ipedkdbtbzx3m9,41,calculator,0,2016-06-13T18:50:23Z,3,1470666110040,when i run this in xcode i get the correct output however this is what i get in terminal any help would be great
371,ipe4szq121l7ij,36,calculator,0,2016-06-13T14:45:09Z,3,1470666110510,when i run calc01 test on my computer and sdiff it there is no difference with the correct output but the autograder said i did not pass the test what might be the problem and i pass the test of calc00 on autograder
370,ipdy9axrxut433,40,calculator,0,2016-06-13T11:41:53Z,4,1470666110747,when i manually input the arguments into the terminal my calccpp seems to work correctly and print the right things to the terminal but when i use io redirection with calc calctest00in calctest00out nothing appears in the calctest00out file i cant figure out why nothing is being printed in the calctest00out file
369,ipdgxovnxqv28s,33,calculator,0,2016-06-13T03:36:58Z,2,1470666110974,im passing the stack public test in xcode as well as the other visibly graded autograder tests but i dont pass on caen running with valgrind produces this output i have been trying to change things and look into why this is happening for the past two days but havent been able to figure it out if anyone has advice of what to look for when trying to fix this i would really appreciate it it seems as though im trying to access an invalid next node but i dont understand why the problem wouldnt appear in xcode
368,ipdac9qcm81254,41,calculator,0,2016-06-13T00:32:21Z,4,1470666111187,should we have a node destructor my popfront and popback arent deleting the nodes that are being pointed at
367,ipd7u6ygifc3qr,45,calculator,0,2016-06-12T23:22:18Z,5,1470666111384,it says the output is different for lines 2 5 i am printing a space after each element in the stack as well as a newline at the end of the stack is there any better way to get more information about whats going wrong
366,ipd67fluc2542t,43,calculator,0,2016-06-12T22:36:36Z,4,1470666111573,hi all im getting segmentation faults that im pretty sure are related to how i wrote popback and popfront but i dont really know how to fix them since i call popfront in popall and popall in my deconstructor these are really the only functions managing dynamic memory for me at first i wrote them to 1 assert that list is not empty 2 make a temp pointer to firstlast so as not to orphan it 3 set the secondpenultimate item to firstlast 4 delete the item that we wanted to remove through the temp pointer at this point even though they looked nearly identical to me popback was not doing its job but popfront was but if i tried to run lots of test cases i would eventually get a seg fault i went back and tried to fix it by setting firstprev lastnext to 0 a null pointer but now nothing works my program immediately seg faults any help is much appreciated
365,ipd48w3fy8p560,40,calculator,0,2016-06-12T21:41:45Z,3,1470666111762,i cant find any description in the spec about whether should be readonly or also allow user to change datum thanks
364,ipd0oczpq033d,42,calculator,0,2016-06-12T20:01:48Z,3,1470666111998,how am i supposed to be checking whether my calccpp runs properly as of right now i am checking to see if my calccpp compiles correctly and then i run calc calctest00in calctest00out i then use sdiff to check between the given correct output and what should be in the output of calctestout the problem i am running into is that my out file does not have anything in it but when i manually enter in the numbers i end up with the correct result i think there may be a problem with my printing functions in stackh but i would first like to be sure that i am testing calccpp properly on the caen environment
363,ipczmbfqu5e4uk,44,calculator,0,2016-06-12T19:32:14Z,5,1470666112231,i dont think this is relevant to the project but i noticed something peculiar while debugging stackh that i couldnt find an explanation for the following code stackint stack stackint fill with 1bottom 2 3top cout stackpop cout stackpop cout stackpop endl prints out 3 2 1 which is the stack from top to bottom as one might expect however this code cout stackpop stackpop stackpop endl prints out 1 2 3 instead i wouldve thought these would be equivalent expressions but evidently not it doesnt seem to affect the rest of my program all my test cases run fine and my driver works i just thought it was a really weird phenomenon and was wondering if anyone could shed some light on it
362,ipc6n815uwz5v2,41,calculator,0,2016-06-12T06:01:07Z,3,1470666112477,whenever i try to run it i get stuck here anyone have any ideas
