n,id,unique_views,tag,good,created,bookmarked,t,content
2122,hunypqq8m6n4u0,319,instructor,0,2014-05-01T11:21:29Z,9,1470677872815,project lab and exam grades are posted on ctools pin
666,hrqorrrezad4kz,558,instructor,0,2014-02-16T19:07:19Z,20,1470677873017,project 2 students submitting 557 students wperf score 51 average score 12327 total points 142 pin
73,hqfiyb5uwea542,454,instructor,0,2014-01-14T18:59:16Z,6,1470677873243,the resources found here cover many of the essentials for this course httpsdrivegooglecomaumichedufolderviewid0b49xemrteracezbrmjnqzb3ymcuspsharing some of the documents are still partially under construction
2071,huivf9324jazm,356,instructor,0,2014-04-27T21:50:30Z,5,1470677888421,a quick message from vidal james p james j we wish you good luck on the exam everyone and remember dont ragequit ps grading these exams is going to be tedious soooo if you happen to finish early and checked over your answers three times consider doing one of the following to entertain us while we grade a sketch your favorite meme b write down a good joke preferably nothing too dirty but whatever c draw an eecs 280 staffer in anime
2067,huisx9md6af1bb,354,instructor,0,2014-04-27T20:40:32Z,10,1470677889330,hi class if you stuck around until the veeeery end of the allnighter review session you might remember there was talk of creating a single exampleproblem that incorporated all the concepts from the exam it has taken me a lot longer than i first expected to get it all put together but it is coming sooncheck back here in an hour or two i will also post a sample solution in the meantime heres the theme of the problem httpenwikipediaorgwikisevenlayerdip james
2012,hug2jjunq191nk,148,instructor,0,2014-04-25T22:46:29Z,4,1470677901736,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
2011,hug0i4cl1iu4pw,153,instructor,0,2014-04-25T21:49:23Z,6,1470677901941,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
2010,hug0fu23aq227z,137,instructor,0,2014-04-25T21:47:37Z,5,1470677902139,ask questions here and well answer them or bring them up to talk about as a group feel free to ask anonymously if you prefer
1991,hucjxg204el4cs,390,instructor,0,2014-04-23T11:42:06Z,13,1470677906409,
1947,hub8xesuxpk1tc,74,instructor,0,2014-04-22T13:46:23Z,3,1470677916424,im hanging out in bbb 1695 if youre around and have 280 questions feel free to drop by james
1756,hu325mf4co2os,92,instructor,0,2014-04-16T20:14:39Z,3,1470677959115,a graduate student is looking for volunteers to participate in a research effort that is attempting to improve on android security if you are interested here is the link to a form to express your interest in participation httpgooglp008sw the phd student who is conducting the study is earlence fernandes earlenceumichedu and his office is in the cse division the study has an irb approval from the university of michigan he will do a raffle at the end of study the winner gets 50 amazon gift card if you dont win even then you will probably learn a little bit about potential security issues on android and smartphones and benefit a phd students research work from what i am told you will need to spend around 20 minutes of time using the students android device the study is somewhat like a little game in that you have to try to guess correctly as to when you are interacting with a genuine program and when you are interacting with a malicious program feel free to contact earlence with more questions or simply enter your information in the form and he will contact you if you are selected any personal information you provide is destroyed at the end of the study as per the irb rules prof prakash
1670,htvzd2bdd5x4wx,349,instructor,0,2014-04-11T21:22:04Z,7,1470677977819,weve modified the schedule a bit for the last few lectures mon 14 apr extra help and practice problems wed 16 apr extra help and practice problems ringenberg lecture canceled mon 21 apr final exam review pin
1663,htvguq444ib6zp,457,instructor,0,2014-04-11T12:43:56Z,6,1470677979489,in the cse department we take our course evaluations very seriously and we want to encourage everyone to participate we would like to extend an opportunity for extra credit equivalent to one lab assignment for those who submit a course evaluation evaluations remain anonymous and we will only know that you submitted so we can give you credit to receive extra credit equivalent to one lab assignment complete your course evaluation for eecs 280 and forward the registrars email acknowledgement to eecsevalsumichedu pin
1660,htucxagyg8l4av,333,instructor,0,2014-04-10T18:06:11Z,4,1470677980125,we clarified in the specs that rational0 0 results in 00 there was a bit of ambiguity in the original specs the change in the project5pdf from the original version is highlighted in yellow and q is nonzero this is a new project do let us know if you see any specs errors or ambiguities pin
1656,htu053gmp1j10w,316,instructor,0,2014-04-10T12:08:20Z,4,1470677981023,the specs for project 5 have been released get started early unlike other projects it is due on a tuesday apr 22nd the assignment requires you to implement three classes a doublylinked list stack and a rational number class in addition you have to implement a postfix calculator for rational numbers you will be making use of many of the concepts we talked about in recent lectures including classes friends operator overloading function pointersfunctors the big three dynamic memory etc if you have never encountered a postfix calculator before and want to ask us questions about it please stop by in office hours we can show you some online calculators here are a few that i am aware of an online javascriptbased calculator httpwwwueaacukdpscalculatorhtml mac oss builtin calculator search for calculator in spotlight after you launch the calculator select view rpn mode a picture of it is attached in action after i entered two numbers 3 and 5 if i were to hit the sign at that point the two numbers would be added and then 8 put on the stack use this calculators to understand rpn mode but unlike these calculators your calculator will be textbased entirely and use rational number arithmetic happy coding
1626,htsuguu318f6nq,183,instructor,0,2014-04-09T16:41:45Z,4,1470677987659,disclaimer its not actually a party its just extra office hours
1366,htcatvv8oj86ka,181,instructor,3,2014-03-29T02:47:41Z,6,1470678049281,dear students since so few of you have attended our recent office hours that must mean you are all finished with project 4 therefore we the staff have decided to cancel all office hours up until the project 4 deadline sincerely eecs 280 staff
1222,hsy0yr7bddu1oo,169,instructor,0,2014-03-19T03:02:46Z,4,1470678086656,as was pointed out by a student and discussed with staff we are allowing test case collaboration for project 3 there are currently a few different posts on piazza related to this topic while this provides great feedback to you and confirmation with regards to correctness i strongly encourage you to perform your own testing first and convince yourself of the results before comparing with others in the working world testing is a crucial part of any project and the stakes are much higher generally speaking it is strongly advised to spend as much time on testing as was spent on coding and some companies even have dedicated teams just for testing and test automation purposes testing is a crucial skill to have and admittedly quite hard to master but with practice you should all be able to also a friendly reminder this policy does not apply for project 4 as test cases are a deliverable for that project and such collaboration would lead to a violation of the honor code
1257,hsz3hm8geqb3d1,145,instructor,0,2014-03-19T21:01:12Z,4,1470678092227,several students have been having issues where their code seems to work fine when testing locally but doesnt pass the tests when submitted to the autograder in the project spec we suggest using something like this to test your code euchre packin noshuffle 1 alice bob cathy drew euchretest00out diff ­q euchretest00out euchretest00outcorrect these should be run as two separate commands it wont work if you type it out all on one line it wont find any differences and your code will appear to be producing correct output when its not of course you should also make sure youre testing on caen linux and are using a fresh copy of the sample correct outputs in case you accidentally modified them
1279,ht1k8u5qct64u6,365,instructor,0,2014-03-21T14:25:48Z,17,1470678096054,heres a mapping from the internal identifiers to a longer name this would have been included in your original email but i wanted to get grades out asap cardtest published card unit tests checkpoint cardtest00 published card unit tests final packtest published pack unit tests checkpoint packtest00 published pack unit tests final playertest published player unit tests checkpoint playertest00 published player unit tests final cardtest01 cardinit cardtest02 cardcompare with trump cardtest03 cardcompare with trump and led suit packtest01 packinit packtest02 packdealone packtest03 packreset packtest04 packshuffle playertest01 playerinit playertest02 playeraddcard playertest03 playermaketrump playertest04 playeraddanddiscard playertest05 playerleadcard playertest06 playerplaycard euchretest00 published short test euchretest01 published medium test euchretest04 long test no shuffling euchretest05 long test euchretest20 thosrough test noshuffle round 1 euchred euchretest21 thorough test noshuffle round 12 march euchretest22 thorough test noshuffle round 1 single point left bower euchretest23 thorough test noshuffle round 12 euchred left bower euchretest24 thorough test noshuffle round 1 single point left bower euchretestargs command line arguments pin
1286,ht20licp9na4vw,423,instructor,1,2014-03-21T22:03:33Z,9,1470678098659,the specs for project 4 were released on thursday get started
1050,hsoy0g0nyt96h4,58,instructor,0,2014-03-12T18:30:10Z,3,1470678107984,hi my car is stuck in snow and wont budge ill be a few minutes late to discussion please start working on the lab ill be there as soon as i can pooja
1069,hsq232jfpz9fc,82,instructor,0,2014-03-13T13:11:58Z,4,1470678115243,i talked about an intset factory in the 500 pm lecture yesterday march 12th for those of you following my lecture attached is the code for the functions to help create an intset object and for destroying the object this helps completely the implementation of intset from maincpp note that maincpp only needs to include the two factory functions signature defined as part of intsetfactoryh and the pure abstract ie interface class intsetcpp the code on slide 15 of lecture 16 notes is somewhat simplified it does not completely hide the intsetunsorted class from maincpp since the header file is included by using factory functions it is possible to completely hide the implementation from maincpp the makefile includes the command to compile the code the factory code does require the use of newdelete two operations for creating and destroying objects dynamically we will talk more about them in coming weeks prakashlecture16codezip
897,hs3crdekzjc4ll,430,instructor,0,2014-02-25T15:52:06Z,8,1470678140166,it may be helpful to have a general idea of c operators and their precedence i am not sure if it is on the tomorrows exam but there are problems on the past exams that depended on it here are some rules 1 and post eg x where x is a pointer it could mean either x or x c gives higher precedence to the operator thus it means x this is explicitly in lecture 7 on slides 3538 so you should know that int p10 int x p now what does x do this means x is dereferenced x ie p0 is the value of the expression then x the pointer is incremented a subsequent x would give you p1 here are a few others that could be confusing 2 ab in the above there are two possible meanings ab or ab in c it is the former 3 ab means ab 4 ab means ab 5 ab means ab in your own code i suggest using parenthesis to avoid confusion but if you see something like this on an exam you now know what it means a full table is given below httpencppreferencecomwcpplanguageoperatorprecedence in the above a is frequently used in the lectures and in the labs so it is a good idea to know that in case a problem shows up with that notation pin
966,hs6rr9e1c9d7ng,128,instructor,0,2014-02-28T01:15:13Z,4,1470678151622,for those of you who havent left town yet i will still be holding my friday office hours feb 28th if youre around i highly recommend that you that you use this opportunity to get your project into a good position going into spring break vidal
971,hs93d7bdf1v1xq,505,instructor,0,2014-03-01T16:15:45Z,11,1470678158802,midterm exam scores are posted on ctools the stats are below awd n 555 min 9 1q 48 mean 62 median 64 stdev 20 3q 78 max 99 pin
658,hrqc2a1650t4z6,278,instructor,0,2014-02-16T13:11:34Z,7,1470678162159,if you are still struggling with packinit here are some hints i tried to address the points of confusion i am seeing in several of the questions regarding the function reading 1 you can read from file streams just like from cin 2 read c strings string type assume that file streams can only read c strings not cstrings directly converting from c strings to cstrings the problem you will face next is that the interface to the cardinit functions expects either enumerated type card and suit or cstyle strings const char but what you just read in were c strings they are not compatible a conversion is required from the c strings to either the enumerated type of cstyle strings in this case it is easer to simply convert c strings to cstrings use the scstr method whenever you need to convert from a c string s to its cstring representation following is an example char a scstr a is a cstring pointer it points to the internal representation of cstring in c string s or char amaxsize you create a cstring array strcpya scstr copy the c strings internal representation of cstring to your own private copy casting casting cannot be arbitrary the following would be bad as an example suit s staticcastsuitspades bad runtime error the problem is suit is an enumerated type that has integer values ranging from 0 to 3 corresponding to the four suits thus the only valid casts are from values 0 to 3 the following are more examples suit s staticcastsuit0 legal suit s staticcastsuit3 legal suit s staticcastsuit4 bad likely runtime error staticcast operator only tells the compiler to suspend its type checking for that statement the runtime system will attempt to interpret the number 4 or the character pointer to the cstring spades as an enumerated type but since the value does not lie in the range 0 to 3 your code will misbehave from that point on if you are lucky you will get a bus error segmentation fault etc so how do you go from the a cstring s that contains spades to its the enumerated type value spades you got to compare strings use the strcmp function
745,hrtjn377a6q5hb,385,instructor,0,2014-02-18T19:07:01Z,6,1470678180582,this message contains the details for the eecs 280 midterm exam 1 time and location when wednesday 26 february 700pm michigan time 830pm 80min where by uniqname stamps aud aakashag ivanbrad ggbl1504 jackwags kozdowy beyst1670 kploof mjcar beyst1690 mjshen mursean dow1013 mvitez rshconn dow1005 rsoltesz sjfried dow1006 skarl taykraus dow1010 tbourani woodmatt dow1017 wuyuting zzhiqing those students taking an alternate or accommodation exam have already received an email with the time and location 2 exam policies the exam will be closed book and closed notes you may bring one cheat sheet limited to 85x11 doublesided handwritten with your name on it no calculator will be necessary thus no electronics of any kind are permitted the exam will be given under the engineering honor code 3 study materials two practice exams are posted on ctools without solutions we encourage you to discuss them both in person and on the piazza forums also reviewing the labs and inclass exercises are a great way to study 4 schedule we will conduct an exam review on monday 24 february in lecture there will be no lecture the day of the exam there will be no discussion sections during the week of the exam all office hours following the exam thu 27 february fri 28 february are canceled
754,hrtnip8ckk06cx,394,instructor,1,2014-02-18T20:55:35Z,10,1470678182311,hear ye hear ye i will be holding an exam review this saturday from 6pm to t where t is undefined see the course calendar for the details vidal ps i will also be using my normal friday office hours to answer questions and go over basic concepts
834,hrxaxf5zsiy12p,79,instructor,0,2014-02-21T10:14:11Z,3,1470678199717,im out of town so my office hours on friday from 1030130 will be moved to monday at the same time
544,hrh7aj48u3t5qo,392,instructor,0,2014-02-10T03:48:06Z,5,1470678204843,while you should do your final testing on caen linux machines many of you may be doing initial development on the macs here are some things that may be useful to get close to the linux toolset on mavericks the latest version of mac os install the commandline tools in xcode by going to xcodes preferences this gives you g and a debugger called lldb lldb replaces gdb on mac to use the debugger you need to add the g flag to g you can modify the given makefile and add g to the various commands and then do make or make packtest00 etc to make the desired executable debugger will be useful in case you get segmentation faults or aborts to run the debugger do the following lldb executablefile for example lldb packtest00 this should give you the lldb prompt then the key commands are lldb run executes the program lldb bt shows the call stack where your program the above is useful in the event that on running your program it crashes this is similar to gdbs where command lldb b functionname set a breakpoint in the given function setting breakpoints can be useful to pause the program a few lines before it crashes then once it pauses you can use the following commands to step through the program or examine the variables lldb next go to the next line in the same function lldb step go to the next instruction lldb print variablename print a value lldb cont continue on till next breakpoint or till program ends it is possible to install gdb as well using macport or brew but it should not be necessary if you use the above commands a full correspondence between lldb and gdb can be found at httplldbllvmorglldbgdbhtml pin
556,hrifgb1uxzs4zj,68,instructor,0,2014-02-11T00:24:18Z,3,1470678205680,we got kicked out of 1620 by some honors thingy so were currently across the hall in 1637 hopefully well be moving back over soon
