n,id,unique_views,tag,good,created,bookmarked,t,content
3333,inddbujj2p6fp,401,exam,0,2016-04-23T16:36:35Z,2,1470666437977,weve posted the final exam questions and solutions to the google drive please look over them before submitting a regrade request pin
3332,inda2jmoc8v1iw,466,exam,0,2016-04-23T15:05:22Z,12,1470666438225,hello all we have finished grading your final exam and will be publishing your grades and opening regrade requests on gradescope shortly if you have any questions about gradescope please look at the previous announcement about the midterm grades and the follow up questions your grades will not be posted to ctools until all regrades are complete so please access gradescope to see your grade here is the score breakdown for the final exam median 67 mean 6544 std dev 1289 in order to submit a regrade find the subquestion you would like to have regraded and select request regrade in the bottom right hand corner you will then be prompted to enter an explanation for the regrade in this text field you should include which part of your question was incorrectly graded 1 sentence why you believe your answer is correct 13 sentences depending on question type as you can see the second part is quite subjective however the more detail you give the better we can investigate your regrade please give enough information in your regrade request or we will not acknowledge it if you leave this field empty your regrade request will be discarded note that while regrading your exam the course staff will check through the rest of your exam as well because of this we may catch other errors we made while grading and your exam score may decrease regrade requests will only be open to 8 pm on monday 425 we will not take any more requests after then if you have any questions please email us eecs280examsumichedu thanks eecs 280 staff pin
3355,ingp0owrofhg0,141,exam,0,2016-04-26T00:27:08Z,3,1470666439502,i got this question wrong but im not sure why i declared two iterators front and end and initialized them to listbegin and listend respectively then i used distance and passed in the two iterators as parameters to distance after this i returned the result of distance im not sure why this is wrong i used distance and two iterators to get output
3354,inglz9596ri3eu,131,exam,0,2016-04-25T23:02:03Z,4,1470666439740,hi i know that destiny is another name reference for str in main the reference was declared in the heroicfunc function once that function is done running wont the reference be deleted doesnt that prove that destiny is local to heroicfunc
3350,inf2k0s8sq41i6,187,exam,12,2016-04-24T21:10:33Z,6,1470666440822,i was wonder why not this this missed opportunity makes me sad this makes wat duck sad
3349,ineys3dygcx5zl,161,euchre,3,2016-04-24T19:24:51Z,3,1470666441042,i got 02 for project 4 main is reasonably short part but basically i only did argv and initializations in my main function i included the entire playing game stuffs in my helper function so i wonder how long is too long and how short is reasonably short
3342,indp2i4n4in223,159,exam,0,2016-04-23T22:05:14Z,3,1470666442724,im not sure if my regrade request went through is there any way to check on gradescope thanks
3341,indl5v612zh4xv,176,exam,0,2016-04-23T20:15:53Z,4,1470666442943,sorry ive discarded the reference sheet after the final but now i want to refer to them when reviewing question 2 the reference sheet is not on google drive is there any way to download it
3340,indkb6ml2bq2wz,146,exam,0,2016-04-23T19:52:01Z,4,1470666443237,for question 4b i wrote virtual void warshipattack instead of just void warshipattack and lost points for syntax i thought in lecture we were told that writing virtual in the derived class functions is not necessary but is a good practice to keep things organized is that not the case
3339,indjsofvdas5fg,174,euchre,0,2016-04-23T19:37:38Z,5,1470666443502,i didnt realize thered be no more office hours can a staff please take a look at my project 4 player simple test and let me know what i got wrong i know i forgot to delete one of the players so thered be memory leak but i didnt think id lose that much points just for that thanks
3337,indgvcwj8vl1tq,141,exam,0,2016-04-23T18:15:44Z,5,1470666444034,when i do the first question i asked whether we assume the destructor for the list work or not the ta says we assume it works so that is why i didnt choose d can i ask regrade for this one
3336,indeoxhobrp2cr,122,exam,2,2016-04-23T17:14:45Z,3,1470666444280,i was told that the answer is none because the line of code is not in a cout however the instructions say write the output i thought output implied a cout stream since that is how it is written in our project specs why is that not valid here
3335,indef82ml1b3es,112,exam,0,2016-04-23T17:07:12Z,4,1470666444510,hello on problem 2a one of the gradescope grading criteria says that our solutions must use acorrect loop including using a valid iteratorinteger for vec the answer key shows the solution that uses a valid integer for looping through vec but what would a valid iterator solution for this problem be thank you
3334,inde9grflnp2ph,126,exam,2,2016-04-23T17:02:43Z,4,1470666444733,hey in looking over the exam solutions im curious to what popback was meant to do i asdumed it would pop the lastand only element on mylist and then the integer would not be leaked according to the solutions im guessing that is wrong just curious
3330,inbrc78nuje2kk,285,exam,0,2016-04-22T13:33:14Z,7,1470666445229,will final grades be posted within 72 hours
3329,inblug7174mak,201,euchre,0,2016-04-22T10:59:27Z,4,1470666445471,i thought i implemented correctly according to the specification but seeing that i got a lot of points off on playercpp and player tests i assume that i misunderstood the specification is it possible to know what i did wrong
3328,inb8fiig50i70g,190,calculator,0,2016-04-22T04:43:56Z,4,1470666445704,my partner and i had a lot of cases in which the autograder listtests failed but we have no idea why it says compilation failure but some of the other autograder tests for list compiled fine before submitting we also tested it on caen with the given public tests and makefile in addition to our own tests to make sure everything works fine how can we know what we did wrong
3325,inawllx3a7t3ng,183,euchre,0,2016-04-21T23:12:45Z,4,1470666446422,can i talk with the prof about the project testing on friday im leaving on this sunday thank you very much
3324,inavtppq9iy66k,259,exam,0,2016-04-21T22:51:03Z,3,1470666446649,please do not post any questions on piazza about the final exam until everyone has taken it doing so is an honor code violation pin
3321,ina933b3hbz6ry,162,exam,0,2016-04-21T12:14:30Z,5,1470666447424,is there any reason that you cant call the overloaded assignment operator in the copy constructor definition and if we can should we do this
3320,ina5e7rtav71ja,108,exam,0,2016-04-21T10:31:10Z,5,1470666447664,if an error derived class is thrown and theres no catch for it is it caught by the base class error assuming there is one also what happens if there isnt any catch corresponding to a throw
3319,ina0m7fj66n2vz,87,exam,0,2016-04-21T08:17:25Z,4,1470666447905,so after 58 is thrown it is caught by the other catch for derivedint in the bar function right this dereferences the int and then throws a string i dont get what happens after that i know it starts looking for catch functions on a larger scope also in general is it possible for a throw to refer to catches in another function if its being called by this other function
3318,in9xsir3mv74bl,70,exam,0,2016-04-21T06:58:21Z,4,1470666448142,as the title
3317,in9x466xord67w,62,exam,2,2016-04-21T06:39:25Z,4,1470666448351,why is the second statement true on the exams there are so many forms of linked lists whose final next pointer isnt set to null such as the circular linked list on winter problem 2 where the last next pointer points to the first element
3316,in9wq4tfjx6ox,77,exam,1,2016-04-21T06:28:30Z,3,1470666448576,in the final review lecture someone asked a question about deleting virtual from a virtual function in the derived class but not the base class i was a little confused by the instructors answer if a function is declared virtual or pure virtual in the base class it will always be virtual in all of the derived classes regardless of if the derived class has the function declared as virtual void speak or void speak for example if a was the base class with a pure virtual function called hello and b was a derived class hello would also be virtual their regardless of if the world virtual was written out or not what if a class c was a derived class of class b if hello was also written their but the virtual keyword was missing from the b class definition of hello would class cs hello also be virtual sorry if this is confusing
3315,in9vql5q4jf5a7,59,exam,0,2016-04-21T06:00:51Z,4,1470666448789,why does this cause a compiler error it is creating a new object of a type theres b b in main but the compiler doesnt give any errors for that
3314,in9uqflu8sm3ox,62,exam,0,2016-04-21T05:32:44Z,3,1470666449094,why does line three call the copy constructor only it pretty clearly uses the assignment operator
3313,in9ud8p6e7kc5,57,exam,0,2016-04-21T05:22:29Z,3,1470666449353,the receiver of basevirt3 is actually a derived object how can it work thanks
3312,in9t4fnjbn9wm,59,exam,0,2016-04-21T04:47:38Z,4,1470666449653,in the solutions you say that we must check if prev and next 2 are nonnull or not however in the main if loop youve assigned next2 to be equal to next of next before checking if it exists or not cant this potentially lead to a seg fault or something if say the node input is the first node or the second last node in the list
3311,in9srpwffh428u,69,exam,0,2016-04-21T04:37:45Z,4,1470666449900,in past exam spring 2015 the iterator calls the function by itupdatedistance but can i just do itupdatedistance i wanted to make sure since if the answer said it instead of simply writing it there must be a reason for that
3310,in9r4f03ms64c0,63,exam,0,2016-04-21T03:51:38Z,5,1470666450135,hi i was wondering if we could use a for loop for 2a on the fall final exam instead of the while loop
3307,in9q8dr77zs2yj,59,exam,0,2016-04-21T03:26:44Z,3,1470666450811,on 5a i dont understand why 123 is being printed where does a cout for a deriveddouble get called in the sequence of main or is a cout somehow implicitly called
3306,in9q7ac03yl21g,48,exam,0,2016-04-21T03:25:53Z,4,1470666451059,confused as to why certain elements of bobby are deleted off of the heap
3305,in9pu7xxefm3wr,58,exam,0,2016-04-21T03:15:43Z,4,1470666451334,when is best to use a while loop vs iterator loop vs node ptr loop do you have to declare a template if before hand if you use an iterator loop or are you allowed to call a adt object if you know the list is going to consist of it i understand there are certain cases where you they are interchangable but is there general rule
3304,in9pqfgb1or2r,57,exam,1,2016-04-21T03:12:46Z,3,1470666451575,imagine we have 3 classes base derived1 derived such that derived2 is a derived1 and derived1 is a base now lets say all 3 of them have a function f1 which is nonvirtual in base but virtual in both derived1 and derived2 its clear that if a derived1 object calls f1 it would run the base version of f1 because the function isnt virtual in base however if a derived2 object called f1 would it be virtual since derived2s direct parent class implements a virtual version of this function
3303,in9otpivc8n9y,56,exam,0,2016-04-21T02:47:19Z,4,1470666451825,in the solution to the defend castle black function it appears the first argument may be missing in the for loop is this argument missing or is the initialization argument supposed to be blank because initialization occurred outside of the for loop thanks
3302,in9olktfxjx19x,75,exam,0,2016-04-21T02:41:00Z,4,1470666452060,in overloaded assignment operator and copy constructor we are able to access the private parts array of the corpse passed in why is this allowed thanks
3301,in9nulsfjeu70v,130,exam,7,2016-04-21T02:20:02Z,6,1470666452318,crab challenge
3300,in9n7rxiss47kt,84,exam,0,2016-04-21T02:02:16Z,4,1470666452641,the destructor frees up the space but not deletes the object but if the space is already freed up you dont have any space to store the object then its the same effect of deleting object
3299,in9mdzfilj93gm,69,exam,0,2016-04-21T01:39:07Z,3,1470666452853,can i not just change the datum i just changed datum of the node with the datum of the next node is there any problem if i do so
3298,in9lmyjp4b66c2,103,exam,0,2016-04-21T01:18:06Z,4,1470666453130,how much time should we devote to going over the advanced generic programming lecture material there was only one lecture on it and the practice exams did not have anything remotely related to it the professors stated in the beginning of the course this is class is not about learning c syntax but rather how to be a better at solving problems so im not sure how important knowing the material on the the advanced programming lecture will be for the final exam
3297,in9lguzczqfte,69,exam,0,2016-04-21T01:13:21Z,4,1470666453360,why do you print leaving main after f is thrown at the bottom of catch baseint in foo why doset that get caught
3296,in9k8bszbtp4f3,70,exam,0,2016-04-21T00:38:43Z,5,1470666453634,will we be marked done if the order which we call the destructor is wrong
3295,in9jt3r35mu9z,56,exam,0,2016-04-21T00:26:53Z,3,1470666453894,isnt scheduleend equal to an empty iterator when putting it into scheduleinsertinsertit m doesnt it result in an error because youre passing in an empty iterator
3294,in9i3hjggjh2oh,70,exam,0,2016-04-20T23:38:58Z,3,1470666454165,after watching the video for review 4 im still a little confused for 1 the code was fixed by changing delete ptr to delete ptr wouldnt this delete the entire array rather than just the last element of the array is it possible to delete only the last element
3293,in9fvs65w4597,72,exam,0,2016-04-20T22:37:00Z,3,1470666454425,i noticed in the first problem it asks questions about static variables and i dont really understand the answers i dont remember talking much about static types in lecture just not to use them should i be concerned or will it not be on the exam
3292,in9fncutv1z5fi,59,exam,0,2016-04-20T22:30:27Z,3,1470666454647,so it says that it is different then project 5 was project 5 different for the fall class or do they mean because they are not using iterators or am i missing something
3291,in9fgjkmx3a2l,81,exam,0,2016-04-20T22:25:09Z,5,1470666454876,do we have to assert to check for the requires clause in the exam
3290,in9eypf38qb4cf,66,exam,0,2016-04-20T22:11:16Z,4,1470666455114,i am confused on where the variables current and pedal come from
3289,in9evk2olt842w,68,exam,0,2016-04-20T22:08:50Z,4,1470666455345,the title says it
3288,in9d06rfkvq7bj,102,exam,0,2016-04-20T21:16:26Z,7,1470666455573,although this has been explained a couple of times i still do not understand when we need to have typename and when we dont
3287,in9czyxjjpd6rg,83,exam,0,2016-04-20T21:16:16Z,3,1470666455817,could someone explain why when using iterators in project 4 and in other situations we needed to use typename listtiterator it instead of just iterator it does it just tell the compiler what the iterator will be iterating over does it create a specific type of iterator that works with lists of type t
3286,in9bh6dcuie11r,53,exam,0,2016-04-20T20:33:40Z,4,1470666456041,in this slide from the lecture on functors the function name is passed in the function pointer
3285,in9bfcme8f435,66,exam,0,2016-04-20T20:32:15Z,5,1470666456260,im confused is to why im a ninja llama doesnt get executed when a printdescription is called on a supper llama pointer that is actually pointing to a ninja llama im assuming it gets over written with the version in superllama why does it exist in the subclass then if it enters the version in the subclass then it should also cout that in the answers i guess im missing a property of polymorphism where the super class functions always override the subclass ones with the same signature
3284,in9apybwh363yj,61,exam,0,2016-04-20T20:12:30Z,5,1470666456484,hi in the superllama class method printdescription has no virtual keyword yet in the derived ninjallama class printdescription is a virtual function i couldnt find anything in lecture that gave explicit help to this particular situation so i was wondering a few things what does it mean to have a derived class virtual function with the same nameparameters as a base class nonvirtual function why would anyone do such a thing and how does this behave when called
3283,in9a30kygjh35t,58,exam,0,2016-04-20T19:54:39Z,4,1470666456786,for the answer could we do void doublylinkedlistremoveiflessint threshold for node n first n 0 n n next if n datum threshold removenoden
3282,in99fjx99bzpx,65,exam,0,2016-04-20T19:36:25Z,4,1470666457011,so variables in static storage are created at the start of the program locals are created when their scope starts does the compiler preallocate space for all these unlike dynamically allocated data
3281,in99bmo6bos5ss,79,calculator,0,2016-04-20T19:33:22Z,5,1470666457261,a cout a dtor n b cout b dtor n a ab new b delete ab yesterday vidal said this would print out a dtor because ab is a base class pointer im wondering what would print if we had done something like this a cout a dtor n virtual b cout b dtor n b ab new b delete ab im guessing b dtor would print but would a dtor print as well
3280,in98rndbvlq118,63,exam,0,2016-04-20T19:17:49Z,5,1470666457490,does iterator end always point to one after the end unless specified otherwise
3279,in98n5vds8u5rd,261,exam,2,2016-04-20T19:14:20Z,6,1470666457786,due to construction several of the bus routes are on detours until friday april 22nd currently the bursley baits route does not stop at pierpont commons northwood is on detour but it will still stop at pierpont commons the commuter north is currently taking its normal route if you must take a bus to north campus tomorrow before the exam make sure to take either the commuter north or northwood full information about the bus detours can be found here pin
3278,in983igzjv72ne,56,exam,0,2016-04-20T18:59:03Z,4,1470666458062,fornode nodeptr first nodeptr nodeptr nodeptr next delete nodeptr would this not work as well
3276,in97sn9jybc4w1,62,exam,0,2016-04-20T18:50:36Z,4,1470666458578,if operator returns by value will there be any potential problems other than copying and taking up space thanks
3275,in96z9rw91b64,71,exam,0,2016-04-20T18:27:46Z,5,1470666458809,will we be able to use the null keyword on the exam sorry if thats been asked but i cant seem to find it anywhere
3274,in9545ohjya45a,78,exam,0,2016-04-20T17:35:35Z,5,1470666459989,in a class if some are the functions are pure virtual and others have actual implementations does that mean we can still instantiate objects of the type of the base class
3272,in93f6k0kbk1zp,63,exam,0,2016-04-20T16:48:10Z,4,1470666460478,in question 3s definition of class whitewalker it doesnt say private anywhere it just lists the member variables then is says public so if the word private isnt included does that make the variables above the public section private public or neither thanks in advance
3271,in93dvw87kyrx,67,exam,0,2016-04-20T16:47:09Z,6,1470666460765,i understand whoopingllama destructor does not have to be virtual but will it cause any problem if we make it virtual
3270,in92fy3bngm2i4,67,exam,0,2016-04-20T16:20:46Z,4,1470666461031,shouldnt it be typename listwhitewalkeriterator it armybegin
3268,in922ekrbt94sb,56,exam,0,2016-04-20T16:10:14Z,4,1470666461544,from problem 4 of the spring exam i noticed in printdescription for ninjallama it calls superllamaprintdescription if printdescription in superllama was written as a virtual function would superllamaprintdescription call the printdescription from superllama is calling basefunction in a derived class a way of running the version of the function from the base class even if a virtual function was used
3267,in91u4eza9y2ps,52,exam,0,2016-04-20T16:03:48Z,4,1470666461809,in question 4a f15 the value into the function call operator is passed by reference do we have to write these overrides with reference to avoid making copies all the time i think the function also works without passing by reference is there a way to know for sure which one to use
3266,in91hbbes8e14w,73,exam,0,2016-04-20T15:53:50Z,4,1470666462025,after looking through a lot of lecture and example material im still kind of confused as to when we use semicolons after declarationdefinition of classes could anyone clear this up thanks
3265,in90q3rge0a6gy,47,exam,0,2016-04-20T15:32:40Z,4,1470666462262,even though s1 and s2 contains pointers to the same array would the output for cout s1 still not be 2 3 insert in s2 does not affect the size and capacity of s1 so assuming that overload only prints unto the first letssize elements would that not make any difference ps this is the last slide from lecture 17
3262,in8zsbz6n8l432,95,calculator,1,2016-04-20T15:06:25Z,8,1470666463015,hi so i lost a lot of points on project 5 for some reason my code passed all of the compilation tests when i submitted it to the autograder and it compiles for some tests but for many of the list tests that are returning in the grade breakdown it says the code simply didnt compile any ideas how the code passed the compilation test and some of the list tests but not others
3260,in8zaulwhod3cl,59,exam,0,2016-04-20T14:52:49Z,4,1470666463540,why is this compile i thought this will occur some problems in value semantics
3258,in8ydv2ujah4pz,59,exam,0,2016-04-20T14:27:10Z,3,1470666464023,all elements in the array are on the heap since the elements are dynamically allocated regardless of their type the ints those pointers point to are indeed not deleted but thats not asked by the question the question is you cant delete an array of dynamically allocated pointers at once is the following syntax right if so by deleting arr we can delete all pointers on the heap int arr new int3 delete arr
3255,in8uumq949o7bm,63,exam,0,2016-04-20T12:48:14Z,4,1470666465499,if the subtype indeed has weaker or equal requires stronger or equal effects can it make fewer modifications than base class what if the user is expecting the modification thats missing in subtype class thanks
3254,in8jmld587g4s2,150,calculator,0,2016-04-20T07:34:03Z,4,1470666465745,the score i have on my ctools gradebook doesnt match what my score on the autograder is for project 5 can someone please update my score accordingly thanks
3253,in8jfydaeh34vz,145,euchre,0,2016-04-20T07:28:53Z,5,1470666465971,i was wondering why my teammate and i are getting 0s on both the card and player test cases since we turned in the test cases what are the graders looking for when grading these test cases
3252,in8e8ttfiav3r9,83,exam,0,2016-04-20T05:03:23Z,6,1470666466228,i have a following class arrayintset when i initialize arr with another arrayset visual studio would just print out arrayset parameter ctor while arrayset copy ctor wasnt why wasnt the copy ctor used class arrayset int size public arraysetint sizein sizesizein cout arrayset parameter ctor endl arraysetconst arrayset other sizeothersize cout arrayset copy ctor endl int main arrayset arrarrayset4 only prints arrayset parameter ctor
3247,in89d7j2k3a1ox,100,exam,0,2016-04-20T02:46:49Z,5,1470666467447,im confused as to how the answer to 5c was achieved in spring 2015 wouldnt choice a work better
3244,in879sj6pu93q9,55,exam,0,2016-04-20T01:48:11Z,4,1470666468202,
3243,in8701pbbe34r2,55,exam,0,2016-04-20T01:40:36Z,4,1470666468458,does a regular pointer such as int have dynamic type also if a pointer to a base class never points to an object of its derived class does it still have a dynamic type bird bptr bird thanks
3242,in862hvx83d65w,64,exam,0,2016-04-20T01:14:31Z,6,1470666468692,for example we have a class base and a class derived which is derived from base were taught that when creating a derived object the base ctor will run first and then the derived ctor my question is is this behavior absolute or does it depend on the implementation class derived public base derivedstring namein basenamein string name like seen above is the top down behavior due to how the derived class delegates a base constructor if we did not delegate the base constructor would the rule still apply
3241,in841577e2e1kx,155,euchre,3,2016-04-20T00:17:28Z,6,1470666468899,what percent of the project 4 grade are the student card and player tests
3239,in83btqoz3q12x,88,exam,0,2016-04-19T23:57:47Z,4,1470666469359,the answer key keeps doing for int i 0 i numparts i delete partsi does just doing delete parts not work
3238,in838guc4lo1cv,101,exam,0,2016-04-19T23:55:10Z,4,1470666469593,they both involve failure to delete unused dynamically allocated data whats the key difference thanks
3236,in82hjf3dry2nx,135,calculator,1,2016-04-19T23:34:14Z,6,1470666470079,on ctools the grade given for my project 5 autograder is 16 points lower than my actual autograder scoreout of 95 what is the reason for this
3234,in81k47ymo933b,70,exam,0,2016-04-19T23:08:15Z,6,1470666470573,can anyone explain why the destructor needs to be virtual the output shows that the dynamic type whooping llama dtor was called first and then the static type super llama is it that you need to put virtual so that it runs both
3233,in80yf8seq24px,59,exam,0,2016-04-19T22:51:22Z,3,1470666470809,above main do you have to specify static it works fine as a global variable in visual studio even if i dont declare it static is that just random success
3232,in80w7bsk3k3l2,73,exam,2,2016-04-19T22:49:39Z,5,1470666471055,after the code executes catch basedouble e throw derivedstring s why wouldnt catch be executed and print out caughsomething i thought catch could catch any type and that is the first thing code encounters after scoping out thanks
3231,in7ze8zucj51xr,56,exam,0,2016-04-19T22:07:42Z,5,1470666471274,the solution for 3a in winter 15 has fortypename listtiterator it itemsbegin why is typename required in front of list here and how can we tell if it is required or not in problems like this using iterators
3230,in7yma33dwt6a3,72,exam,2,2016-04-19T21:45:57Z,5,1470666471526,can someone please walk through and explain this one thanks
3228,in7xysdeb6e502,64,exam,0,2016-04-19T21:27:41Z,5,1470666471977,bob is a crustacean but the solution says that bobchallenge prints out crab challenge is that a mistake on the solutions
3227,in7w5rszplj2m7,116,exam,3,2016-04-19T20:37:07Z,5,1470666472240,will material from lecture 24 be on the final exam auto type alias etc the final exam review slides state that the exam will cover material from slides 1223 would like to confirm thats accurate
3226,in7sgxa8i574fc,53,exam,0,2016-04-19T18:53:49Z,5,1470666472509,problem2 why we wouldnt need to set last pointer to 0 problem4 in class meetingtimecomparator the operator only deals with the situation when one meeting is earlier than the other but in findnotless we are asked to find a meeting that is earlier or equal to another meeting why wouldnt we need to take the euqal situation into consideration as suggested in the code above
3225,in7rp57qrwh6cw,45,exam,1,2016-04-19T18:32:13Z,3,1470666472778,this is kind of a trivialpedantic question but on 4c the question says you may use the string library but no others but at the bottom of the solutions assert false is used isnt that using the cassert library also in such a question is it ok to just return a null pointer if it isnt specifically stated that cassert can be used
3224,in7qvla9ccw511,47,exam,0,2016-04-19T18:09:14Z,4,1470666473057,are the review coding questions up on labster i dont see them
3223,in7onznu6lq11z,70,exam,0,2016-04-19T17:07:20Z,4,1470666473305,i copy and pasted some code from spring 2015 question 1d to see how it would actually run but i keep getting errors i think this would be really useful for studying and was wondering if anyone could tell me how to get rid of these errors so that i could run simulations of code from the exam any help would be appreciated
3222,in7o6av1hb97fz,74,exam,0,2016-04-19T16:53:35Z,4,1470666473527,
3220,in7l2lvzpii464,62,exam,1,2016-04-19T15:26:44Z,8,1470666474100,hi on the solution for 3b of the spring 2015 final exam it updates the white walker object pointed to by the iterator using this statement itupdatedistance isnt this poor style as since we are dereferencing a pointer we would want to use itupdatedistance or is it not poor style because we havent overloaded the operator for the white walker iterator class thanks
3219,in7i9x5b5f521w,101,exam,0,2016-04-19T14:08:26Z,3,1470666474346,whats the difference between precondition and postcondition fall 2015
3218,in7i260gw744mj,73,exam,0,2016-04-19T14:02:24Z,4,1470666474587,in fall 2015 practice exam number 3a why are there endl for greet and challenge the problem says print crab hi and crab challenge without the quotes but never said print a new line do we have to assume we have to print a new line when a question like this comes up in the final
